"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL22",317.696392800956,0.102738524769965,0.0516396736258485,1.98952699651724,0.0466430650541019,0.999981087338227
"AL031847.1",0,NA,NA,NA,NA,NA
"RNF207",0.601199369161166,0.0778572300803605,0.472618219793286,0.164735989472462,0.869151788460086,0.999981087338227
"ICMT",2.4074216412574,-0.131642634661817,0.249576484843157,-0.527464094802624,0.597871343944201,0.999981087338227
"LINC00337",0,NA,NA,NA,NA,NA
"HES3",0,NA,NA,NA,NA,NA
"GPR153",0.280836580994525,0.355825280173752,0.535106990609631,0.664961001104418,0.506075437302798,0.999981087338227
"ACOT7",3.85945388994016,-0.14743712631826,0.171146646470587,-0.861466639041616,0.38898108747747,0.999981087338227
"AL031848.2",0.317645240448379,-0.11282155979033,0.496031500606005,-0.227448377073824,0.820075106382374,0.999981087338227
"HES2",0,NA,NA,NA,NA,NA
"ESPN",1.49017881240243,0.328978868770285,0.36345500703475,0.905143311834555,0.365389469161278,0.999981087338227
"AL031848.1",0.0379357732855707,-0.0921192334148848,1.49511643058734,-0.0616134178785639,0.950870691323346,NA
"TNFRSF25",17.409534635921,0.0792047835371324,0.0980381944668001,0.807897207490439,0.419149759006469,0.999981087338227
"PLEKHG5",0.418349462475875,-0.236074666767528,0.669386316210221,-0.352673278569664,0.724333394356802,0.999981087338227
"NOL9",5.91141951298409,-0.0774779101308362,0.178438885447159,-0.434198576933949,0.664144246398512,0.999981087338227
"TAS1R1",0.0764519252938419,-0.188683468603486,1.04689894824809,-0.1802308321345,0.85697135420432,NA
"ZBTB48",4.20205634610739,-0.0563793135612608,0.155608236486543,-0.362315741340186,0.717116096273194,0.999981087338227
"KLHL21",4.73120845296461,-0.120451725705387,0.198822789757259,-0.605824542812448,0.544631270411572,0.999981087338227
"PHF13",1.0339522158986,-0.098638539532747,0.325566270074351,-0.30297530364623,0.761908682413927,0.999981087338227
"THAP3",1.6839410387383,0.118082590877635,0.250124763887243,0.472094761999922,0.636859151075616,0.999981087338227
"DNAJC11",2.65452636939407,-0.271164577016001,0.200607779425043,-1.35171516176082,0.176466452899293,0.999981087338227
"LINC01672",0,NA,NA,NA,NA,NA
"AL591163.1",0,NA,NA,NA,NA,NA
"CAMTA1-DT",1.06391658700552,-0.0431104430217712,0.303488945222939,-0.142049467370559,0.887040932502197,0.999981087338227
"CAMTA1",13.7195335193936,-0.00791174670097108,0.0995626489574951,-0.0794650080508477,0.936662763099151,0.999981087338227
"AL512330.1",0,NA,NA,NA,NA,NA
"CAMTA1-IT1",0,NA,NA,NA,NA,NA
"Z97987.1",0,NA,NA,NA,NA,NA
"AL365194.1",0,NA,NA,NA,NA,NA
"AL359881.3",0,NA,NA,NA,NA,NA
"AL359881.2",0,NA,NA,NA,NA,NA
"AL359881.1",0,NA,NA,NA,NA,NA
"VAMP3",3.661697624415,-0.195972526263101,0.172448262546043,-1.13641345740307,0.255783566260597,0.999981087338227
"Z98884.2",0,NA,NA,NA,NA,NA
"PER3",2.72268447063617,-0.0868027816426679,0.26215791821531,-0.331108753966289,0.740562339540896,0.999981087338227
"Z98884.1",0.249623524755606,0.08925986697398,0.567842191518215,0.157191325877582,0.875094064265618,0.999981087338227
"UTS2",1.39630035091089,-0.00623271341211732,0.517533724746127,-0.0120431058191903,0.990391224073689,0.999981087338227
"TNFRSF9",6.03284410323132,-0.246005811034961,0.261819246550467,-0.939601707193602,0.347421900264579,0.999981087338227
"PARK7",50.6858139996834,0.129232689010612,0.0626395433071309,2.06311671809237,0.03910154015828,0.999981087338227
"AL034417.4",0.310599750341032,0.0860555496482491,0.73699419504475,0.116765573225477,0.907045825670217,0.999981087338227
"AL034417.3",0.121034715588978,0.0312918671745161,1.18938681072557,0.0263092434625425,0.97901068224745,NA
"ERRFI1",7.81814654253039,0.0178086399648613,0.248465415502864,0.0716745223025052,0.942860932258638,0.999981087338227
"AL034417.2",0.0785898261398322,-0.276896903820353,1.49229687388495,-0.185550816775148,0.852797026163849,NA
"LINC01714",0,NA,NA,NA,NA,NA
"AL358876.2",0,NA,NA,NA,NA,NA
"SLC45A1",0.10269861256767,-0.178879653823864,1.0087922673215,-0.177320603674746,0.859256567837465,NA
"RERE",19.6594593416398,-0.182937962922482,0.100012984255858,-1.82914212873083,0.0673783192264471,0.999981087338227
"RERE-AS1",0.165689483555229,0.118761309235752,0.810189070791302,0.146584684387016,0.883459843176292,0.999981087338227
"AL357552.2",0,NA,NA,NA,NA,NA
"ENO1",74.5740483143544,0.064348957574661,0.0616673817588725,1.04348450897873,0.296723951716034,0.999981087338227
"ENO1-AS1",0.54513983692505,-0.0284261268040236,0.430254619760533,-0.0660681501103806,0.947323567959207,0.999981087338227
"CA6",0.0608563534510396,-0.306351300040447,1.37415257536987,-0.222938344352329,0.823583492817794,NA
"SLC2A7",0.158623899686987,0.162526299877986,0.947776353278314,0.171481699575871,0.863845018928156,0.999981087338227
"SLC2A5",0.0411170889455163,0.11675989932952,1.49644504378509,0.0780248495021169,0.93780828620122,NA
"GPR157",0.774781531802268,-0.0689740369183643,0.426778852049599,-0.161615404763187,0.87160872555158,0.999981087338227
"MIR34AHG",0.11077320463799,-0.0123298162904547,1.00180303198766,-0.0123076252484396,0.990180183748512,NA
"LNCTAM34A",0,NA,NA,NA,NA,NA
"H6PD",2.42615615506495,0.0282748625559314,0.255984217116586,0.110455491648744,0.912048146335525,0.999981087338227
"SPSB1",1.15690725447657,-0.706739959841926,0.441510631214453,-1.60073146573597,0.109436408752304,0.999981087338227
"BX323043.1",0,NA,NA,NA,NA,NA
"LINC02606",0.0948226424719802,0.220935586277762,1.01434510677138,0.217811063318471,0.827576324228244,NA
"AL928921.1",0,NA,NA,NA,NA,NA
"SLC25A33",9.29348276382909,0.0518498155785173,0.174918207437369,0.296423204525936,0.766906906529746,0.999981087338227
"TMEM201",0.593528290482332,0.0859773290514265,0.372298642026998,0.230936456236635,0.8173641681487,0.999981087338227
"PIK3CD",19.7195298135532,-0.0722094311007487,0.115542911486283,-0.624957690367021,0.531998827204823,0.999981087338227
"PIK3CD-AS1",0.136411305284896,-0.165170154847471,1.16338231490437,-0.141974098051377,0.887100465173461,0.999981087338227
"PIK3CD-AS2",0.140087029339981,0.00332118718494238,0.700345322756816,0.00474221370090539,0.996216275085799,0.999981087338227
"CLSTN1",7.83706421783844,0.00927835950595983,0.160548582516751,0.0577916002777025,0.953914629005191,0.999981087338227
"CTNNBIP1",4.7745034577044,-0.00796893479940708,0.185230736061101,-0.0430216656742021,0.9656842631303,0.999981087338227
"AL357140.1",0,NA,NA,NA,NA,NA
"AL357140.4",0,NA,NA,NA,NA,NA
"LZIC",7.27926081703856,0.035287934625971,0.140450312781369,0.251248530011476,0.801621966059842,0.999981087338227
"AL357140.2",0.0565018070401334,-0.14185170710764,1.49320212820628,-0.0949983290460748,0.924316154147472,NA
"NMNAT1",1.0808766329554,0.254367808465972,0.303571746603462,0.837916608880727,0.402077540026472,0.999981087338227
"AL603962.1",0,NA,NA,NA,NA,NA
"RBP7",0.894205162927086,-1.14412964989087,0.558469127987248,-2.04868916212857,0.0404925196505201,0.999981087338227
"UBE4B",8.05148906249689,-0.00542383720823825,0.137189124353181,-0.0395354750882078,0.968463470585687,0.999981087338227
"KIF1B",4.91789616877436,-0.189910667909563,0.21274721822087,-0.892658759525596,0.372039941824905,0.999981087338227
"AL139424.3",0,NA,NA,NA,NA,NA
"AL139424.2",0,NA,NA,NA,NA,NA
"PGD",9.01051614598062,-0.000562088810526695,0.142394090476267,-0.00394741669859102,0.996850425340638,0.999981087338227
"AL139424.1",0,NA,NA,NA,NA,NA
"CENPS",1.44502611199124,0.283735025458482,0.270975388578707,1.04708780729756,0.295059082207768,0.999981087338227
"CORT",0,NA,NA,NA,NA,NA
"DFFA",4.02037612163551,0.0961887076930389,0.181143634801954,0.53100793631641,0.595413279564483,0.999981087338227
"AL354956.1",0,NA,NA,NA,NA,NA
"PEX14",8.61363715579769,-0.0990387274924206,0.145479587876849,-0.6807740449214,0.496014475654661,0.999981087338227
"AL139423.2",0.0264657706799261,-0.371313570540621,1.49181407622219,-0.248900701809249,0.803437592413941,NA
"CASZ1",2.66709610088728,-0.236312304776415,0.204295775180555,-1.15671655259422,0.247388184684586,0.999981087338227
"AL139423.1",0.329786942064899,-0.045525135916312,0.545652026383516,-0.0834325425638837,0.933507613483474,0.999981087338227
"C1orf127",0,NA,NA,NA,NA,NA
"TARDBP",8.70309893512313,-0.119202828797591,0.112989519798623,-1.05499013545717,0.291429836328783,0.999981087338227
"MASP2",0.0580693731980274,-0.152887123728965,1.38162379835616,-0.110657563883069,0.911887898353684,NA
"AL109811.2",0.272060375594433,0.372940792253089,0.652359779945549,0.571679621763649,0.567539042626545,0.999981087338227
"SRM",18.1641990257465,0.0495090683006229,0.102494675751331,0.483040391490581,0.629067056981011,0.999981087338227
"EXOSC10",5.96169819574414,-0.109347089353775,0.15025526595276,-0.72774214374725,0.466771446956001,0.999981087338227
"AL109811.1",0.136646717033367,-0.149309140331188,1.44777905304557,-0.103129783524012,0.917859967211838,0.999981087338227
"EXOSC10-AS1",0.0337820297810031,-0.275446383904291,1.49234636300317,-0.184572690853072,0.853564207425487,NA
"MTOR",4.2599065128847,-0.151434021307209,0.158914317008735,-0.952928749011866,0.340626172649169,0.999981087338227
"MTOR-AS1",0,NA,NA,NA,NA,NA
"ANGPTL7",0,NA,NA,NA,NA,NA
"UBIAD1",4.35650092930344,-0.000100487105367019,0.170243478449895,-0.000590255240799687,0.99952904448378,0.999981087338227
"AL031291.1",0,NA,NA,NA,NA,NA
"DISP3",0.166262916493137,0.33883588418471,0.789251426373787,0.429312982988818,0.667695469838292,0.999981087338227
"AL590989.1",0,NA,NA,NA,NA,NA
"LINC01647",0.0138556783569686,-0.0775611651765587,1.49560920346746,-0.051859245715217,0.958640847761534,NA
"AL031731.1",0,NA,NA,NA,NA,NA
"FBXO2",3.16995656607861,-0.0411600953826822,0.193102872153607,-0.213151129880351,0.831209084982042,0.999981087338227
"FBXO44",7.93184788079324,0.0185724627660136,0.146164351488227,0.127065611942387,0.898888468495168,0.999981087338227
"FBXO6",7.31104467076803,0.150723134743329,0.14756128251467,1.02142738376068,0.307051996942313,0.999981087338227
"MAD2L2",10.7884544500802,0.115279997618074,0.101701415831021,1.13351418636702,0.256998387148176,0.999981087338227
"DRAXIN",0.0462773904684998,-0.155105020166558,1.4926637310073,-0.103911562225665,0.917239531453255,NA
"AGTRAP",25.4059902165878,0.108079778251317,0.110524979319664,0.977876484724107,0.328135416753679,0.999981087338227
"C1orf167",0,NA,NA,NA,NA,NA
"AL953897.1",0.0828461572176941,0.11675989932952,1.49644504378509,0.0780248495021168,0.93780828620122,NA
"MTHFR",2.10755995899394,-0.379305364769487,0.210843510016961,-1.79898999375876,0.0720202635603467,0.999981087338227
"CLCN6",1.30702422444108,0.102318710836209,0.26579241602468,0.384957224764113,0.700269107512568,0.999981087338227
"NPPA",0.0196225246167212,-0.0920818839399411,1.49511767281017,-0.0615883857267684,0.950890626231673,NA
"NPPB",0,NA,NA,NA,NA,NA
"AL021155.5",7.71754225839364,-0.0358001093195893,0.245978317795265,-0.145541727581806,0.88428317261702,0.999981087338227
"KIAA2013",9.24030989917746,-0.0910017257746198,0.121714672898789,-0.747664382668896,0.45466261985699,0.999981087338227
"PLOD1",1.23814846646813,0.22023217809835,0.313331621441475,0.702872493638455,0.482135214359895,0.999981087338227
"AL096840.2",0.150502395390336,-0.173796229339992,1.13110518354743,-0.153651695587606,0.877884373701935,0.999981087338227
"MFN2",2.57119188391322,0.115689745160235,0.235427995493707,0.491401818707358,0.623142278166619,0.999981087338227
"MIIP",6.93045346444235,0.134295571304082,0.136490296560818,0.983920283624275,0.325154709693337,0.999981087338227
"TNFRSF8",0.0524779345734054,-0.301726259278874,1.4915167546866,-0.202294917794787,0.839686172856657,NA
"AL357835.1",0,NA,NA,NA,NA,NA
"TNFRSF1B",33.8492536228832,-0.205239829135426,0.140731300441294,-1.45838081856596,0.144735604766545,0.999981087338227
"VPS13D",13.626997265619,-0.0773344647504027,0.123588530943745,-0.62574143538937,0.531484550562795,0.999981087338227
"LINC02766",0,NA,NA,NA,NA,NA
"DHRS3",10.1695235472657,0.0338790814201871,0.141230873591611,0.239884386172908,0.810419885528322,0.999981087338227
"AC254633.1",0.0597998625888811,-0.30496362646311,1.37819818802564,-0.221277047896856,0.824876720171392,NA
"AADACL4",0,NA,NA,NA,NA,NA
